player,points,rebounds,assists,class
James Ennis III,7.4,3.5,0.9,4
Drew Eubanks,2.8,3.3,0.5,4
Jacob Evans,6.0,1.7,0.7,4
Dante Exum,2.0,0.9,0.5,4
Tacko Fall,4.0,3.0,0.0,4
Derrick Favors,8.3,8.9,2.1,4
Cristiano Felicio,4.0,3.6,0.6,4
Terrance Ferguson,5.7,1.9,1.0,4
Bruno Fernando,4.2,2.9,1.0,4
Yogi Ferrell,6.0,1.3,1.9,4
Dorian Finney-Smith,8.6,5.0,1.1,4
Bryn Forbes,12.9,2.5,2.0,1
Evan Fournier,19.7,2.9,3.2,1
De'Aaron Fox,18.2,4.0,7.0,3
Tim Frazier,2.5,1.0,2.9,4
Melvin Frazier Jr.,0.5,0.3,0.3,4
Markelle Fultz,12.0,2.6,3.9,1
Wenyen Gabriel,2.3,1.1,0.4,4
Daniel Gafford,4.0,1.7,0.1,4
Danilo Gallinari,18.6,5.7,2.2,1
Langston Galloway,12.3,2.1,1.6,1
Darius Garland,11.0,1.8,2.9,1
Marc Gasol,6.1,6.2,3.5,4
Pau Gasol,17.0,9.2,3.2,1
Rudy Gay,11.3,5.9,1.9,1
Paul George,23.0,6.2,3.5,0
Taj Gibson,5.3,4.4,1.2,4
Harry Giles III,3.4,1.0,0.7,4
Shai Gilgeous-Alexander,18.6,5.0,3.0,1
Rudy Gobert,14.2,13.4,1.4,2
Brandon Goodwin,0.0,0.0,0.0,4
Aaron Gordon,13.8,6.5,2.9,1
Eric Gordon,10.9,1.9,0.8,1
Devonte' Graham,18.8,3.8,7.8,3
Treveon Graham,6.1,3.7,1.2,4
Jerami Grant,9.5,3.5,1.0,4
Josh Gray,1.0,1.0,1.0,4
Danny Green,8.0,3.6,1.2,4
Draymond Green,8.3,6.1,5.6,3
Gerald Green,9.2,2.5,0.5,4
JaMychal Green,7.4,6.6,0.5,4
Javonte Green,3.0,1.0,0.3,4
Jeff Green,8.5,2.8,0.7,4
Blake Griffin,19.4,5.0,3.5,1
Marko Guduric,5.4,2.1,1.5,4
Rui Hachimura,14.2,5.8,1.7,1
Devon Hall,1.3,0.3,0.8,4
Tim Hardaway Jr.,13.2,2.1,1.8,1
James Harden,38.5,6.1,7.4,0
Maurice Harkless,5.6,3.0,1.2,4
Jared Harper,0.0,0.0,0.0,4
Montrezl Harrell,18.8,7.8,2.1,1
Gary Harris,10.6,3.1,1.9,1
Joe Harris,14.8,3.8,2.1,1
Tobias Harris,19.2,7.0,3.1,1
Shaquille Harrison,3.6,1.9,1.4,4
Josh Hart,11.2,6.2,1.3,1
Isaiah Hartenstein,3.9,3.3,0.5,4
Udonis Haslem,2.5,1.5,0.0,4
Jaxson Hayes,8.9,4.7,0.7,4
Gordon Hayward,18.9,7.1,4.1,1
John Henson,4.0,3.3,1.3,4
Dewan Hernandez,1.3,2.3,0.0,4
Juancho Hernangomez,4.2,2.6,0.8,4
Willy Hernangomez,3.0,2.6,0.3,4
Tyler Herro,14.5,4.0,2.0,1
Mario Hezonja,4.6,4.4,1.0,4
Buddy Hield,21.2,4.8,2.7,0
Nene,3.6,2.9,0.6,4
George Hill,9.4,2.9,3.2,4
Solomon Hill,6.4,3.2,1.9,4
Jaylen Hoard,0.8,1.3,0.5,4
Aaron Holiday,8.9,2.5,2.8,4
Jrue Holiday,19.2,5.0,6.7,3
Justin Holiday,7.8,3.7,1.6,4
Rondae Hollis-Jefferson,9.1,5.7,1.5,4
Richaun Holmes,12.4,8.6,1.1,1
Rodney Hood,11.0,3.4,1.5,1
Al Horford,13.9,6.7,4.0,1
Danuel House Jr.,12.1,4.4,1.4,1
Dwight Howard,7.0,7.1,0.8,4
Kevin Huerter,8.5,3.2,3.0,4
De'Andre Hunter,12.1,4.0,1.9,1
Chandler Hutchison,7.1,3.7,0.9,4
Serge Ibaka,13.3,6.4,1.2,1
Andre Iguodala,5.7,3.7,3.2,4
Ersan Ilyasova,7.1,4.7,0.6,4
Joe Ingles,7.4,4.0,3.9,4
Brandon Ingram,24.6,7.0,4.0,0
Kyrie Irving,28.5,5.4,7.2,0
Jonathan Isaac,12.5,7.2,1.4,1
Wes Iwund,3.3,2.1,0.8,4
Frank Jackson,7.1,1.4,1.0,4
Josh Jackson,11.5,4.4,2.3,1
Justin Jackson,6.4,2.5,0.4,4
Reggie Jackson,5.0,2.5,4.0,4
Jaren Jackson Jr.,16.2,4.9,1.4,1
Justin James,3.6,1.8,0.8,4
LeBron James,25.6,7.0,10.7,0
Amile Jefferson,1.5,1.0,0.5,4
DaQuan Jeffries,1.0,0.5,0.5,4
Ty Jerome,4.3,1.8,3.0,4
Alize Johnson,1.6,1.5,0.3,4
Cameron Johnson,9.1,3.0,0.8,4
James Johnson,3.3,1.8,0.7,4
Keldon Johnson,0.0,0.0,0.0,4
Stanley Johnson,1.4,1.4,0.0,4
Tyler Johnson,6.5,1.8,2.2,4
Nikola Jokic,16.1,10.1,6.1,2
Damian Jones,7.7,4.1,0.8,4
Tyus Jones,6.1,1.5,4.8,4
Derrick Jones Jr.,4.6,2.2,0.8,4
DeAndre Jordan,8.2,9.2,2.1,4
Cory Joseph,5.5,2.5,3.9,4
Mfiondu Kabengele,2.6,0.8,0.1,4
Frank Kaminsky,10.7,5.4,2.2,1
Enes Kanter,7.4,5.9,1.1,4
Luke Kennard,16.4,3.5,4.3,1
Stanton Kidd,0.0,0.8,0.3,4
Michael Kidd-Gilchrist,4.7,3.0,1.0,4
Maxi Kleber,8.0,5.7,1.0,4
Brandon Knight,5.0,1.0,1.9,4
Kevin Knox II,7.9,2.9,1.2,4
John Konchar,0.0,0.0,0.0,4
Furkan Korkmaz,8.6,2.3,0.9,4
Luke Kornet,3.1,1.5,0.5,4
Kyle Korver,5.6,1.6,0.8,4
Rodions Kurucs,2.3,2.2,0.1,4
Kyle Kuzma,11.3,3.5,0.8,1
Zach LaVine,22.3,4.2,3.9,0
Skal Labissiere,5.9,5.0,1.1,4
Jeremy Lamb,16.0,5.4,2.8,1
Romeo Langford,0.0,0.0,0.0,4
Jake Layman,10.5,2.9,0.8,1
Caris LeVert,16.8,5.0,4.0,1
TJ Leaf,4.1,3.8,0.4,4
Courtney Lee,4.7,0.4,0.4,4
Damion Lee,10.0,3.9,1.8,4
Alex Len,7.6,4.7,0.9,4
Kawhi Leonard,25.1,7.9,5.2,0
Meyers Leonard,5.7,4.3,0.9,4
Damian Lillard,26.7,4.6,7.4,0
Nassir Little,4.5,3.5,0.5,4
Kevon Looney,3.8,3.8,0.5,4
Brook Lopez,10.2,4.9,1.4,1
Robin Lopez,5.0,2.8,0.7,4
Kevin Love,16.1,10.5,2.7,2
