player,points,rebounds,assists,class
Ekpe Udoh,3.5,2.9,0.7,4
Tyler Ulis,7.5,1.7,4.0,4
Dwyane Wade,22.0,4.7,5.4,0
Julian Washburn,2.2,2.3,0.8,4
Thomas Welsh,1.6,0.4,0.5,4
Okaro White,2.7,2.2,0.5,4
Isaiah Whitehead,7.2,2.4,2.4,4
Alan Williams,6.2,5.5,0.6,4
C.J. Williams,4.7,1.2,1.0,4
Johnathan Williams,6.5,4.1,0.5,4
Troy Williams,6.0,2.7,0.7,4
Guerschon Yabusele,2.3,1.4,0.4,4
Nick Young,11.4,2.0,1.0,1
Tyler Zeller,7.0,4.4,0.9,4
Arron Afflalo,10.8,2.9,1.8,1
Alexis Ajinca,5.3,3.9,0.5,4
Cole Aldrich,3.1,3.3,0.5,4
Tony Allen,8.1,3.5,1.3,4
Darrell Arthur,6.5,3.5,0.8,4
Jamel Artis,5.1,2.5,1.2,4
Omer Asik,5.3,7.1,0.6,4
Luke Babbitt,4.8,2.2,0.6,4
Jabari Bird,3.0,1.5,0.6,4
Tarik Black,4.9,4.7,0.5,4
Vander Blue,3.0,1.3,1.2,4
Joel Bolomboy,1.7,1.5,0.1,4
Trevor Booker,6.9,5.5,1.1,4
Aaron Brooks,9.7,1.7,3.0,4
Anthony Brown,3.9,2.5,0.7,4
Bobby Brown,4.4,0.7,1.5,4
Markel Brown,5.2,2.1,1.2,4
Nicolas Brussino,2.6,1.7,0.8,4
Dwight Buycks,6.3,1.6,1.7,4
Mario Chalmers,8.9,2.5,3.7,4
Gian Clavell,2.9,1.0,0.4,4
Kyle Collinsworth,3.2,3.3,1.8,4
Nick Collison,5.9,5.2,1.0,4
Charles Cooke,0.5,0.2,0.1,4
Jack Cooley,2.9,2.4,0.3,4
Matt Costello,1.0,2.3,0.5,4
Jordan Crawford,12.2,2.5,3.1,1
Malcolm Delaney,5.7,1.8,2.8,4
Milton Doyle,3.4,1.8,1.0,4
Larry Drew II,2.9,0.8,2.5,4
Jarell Eddie,2.6,0.9,0.1,4
Tyler Ennis,4.2,1.3,1.9,4
Jeremy Evans,3.5,2.6,0.4,4
Kay Felder,3.8,1.0,1.3,4
Marcus Georges-Hunt,1.6,0.5,0.2,4
Manu Ginobili,13.3,3.5,3.8,1
Aaron Harrison,2.3,1.2,0.5,4
Nigel Hayes,3.0,2.4,0.7,4
Reggie Hearn,1.0,0.0,0.0,4
Myke Henry,5.4,1.9,1.1,4
Darrun Hilliard,3.2,0.9,0.8,4
Scotty Hopson,0.7,0.0,0.7,4
Josh Huestis,2.5,2.4,0.3,4
Vincent Hunter,1.5,0.8,0.0,4
Jarrett Jack,10.8,2.9,4.6,1
Aaron Jackson,8.0,3.0,1.0,4
Mike James,9.3,2.5,3.5,4
Al Jefferson,15.7,8.4,1.5,1
Richard Jefferson,12.6,4.0,2.0,1
Brandon Jennings,14.1,3.0,5.7,3
Brice Johnson,2.2,1.6,0.1,4
Dakari Johnson,1.8,1.1,0.3,4
Joe Johnson,16.0,4.0,3.9,1
Omari Johnson,5.5,2.8,1.8,4
Sean Kilpatrick,10.3,2.7,1.5,1
Mindaugas Kuzminskas,6.2,1.8,1.0,4
Shane Larkin,5.5,1.9,2.9,4
Joffrey Lauvergne,5.6,3.8,0.9,4
Ty Lawson,12.7,2.7,6.0,3
DeAndre Liggins,2.0,1.4,0.7,4
Mangok Mathiang,2.0,2.5,0.0,4
James Michael McAdoo,3.0,1.7,0.3,4
Erik McCree,0.0,0.3,0.0,4
Chris McCullough,3.3,1.9,0.3,4
Trey McKinney-Jones,0.0,0.0,0.0,4
Josh McRoberts,5.4,3.9,2.1,4
Jordan Mickey,2.4,2.0,0.3,4
Luis Montero,1.0,0.4,0.1,4
Shabazz Muhammad,9.0,2.8,0.5,4
Xavier Munford,4.2,1.6,1.3,4
Jameer Nelson,11.3,3.0,5.1,3
Lucas Nogueira,3.2,2.8,0.5,4
Johnny O'Bryant III,3.5,2.4,0.5,4
Emeka Okafor,12.0,9.7,0.8,1
Chinanu Onuak,3.0,2.3,0.7,4
Marcus Paige,2.4,0.8,0.6,4
Georgios Papagiannis,4.1,3.2,0.7,4
Brandon Paul,2.3,1.1,0.6,4
Adreian Payne,4.0,2.9,0.6,4
Kendrick Perkins,5.4,5.8,1.0,4
London Perrantes,0.5,0.3,0.4,4
Alec Peters,4.1,1.9,0.6,4
Marshall Plumlee,1.9,2.3,0.4,4
Jacob Pullen,0.7,0.0,0.0,4
Rodney Purvis,6.0,1.7,1.1,4
Tim Quarterman,1.8,0.9,0.6,4
Zach Randolph,16.6,9.1,1.8,1
Xavier Rathan-Mayes,5.8,1.0,3.6,4
Willie Reed,4.9,3.8,0.3,4
Ramon Sessions,10.3,2.7,4.1,1
Xavier Silas,2.8,1.5,0.8,4
Kyle Singler,6.5,2.9,0.8,4
Josh Smith,14.5,7.4,3.1,1
Marreese Speights,7.9,4.1,0.7,4
David Stockton,3.0,0.3,1.5,4
Julyan Stone,1.1,1.1,1.1,4
Isaiah Taylor,6.3,1.4,2.9,4
Marquis Teague,2.4,1.0,1.5,4
Mirza Teletovic,8.1,3.2,0.8,4
Jason Terry,13.4,2.3,3.8,1
Rashad Vaughn,3.0,1.1,0.5,4
Jameel Warney,5.7,3.0,0.0,4
Travis Wear,4.0,2.1,0.7,4
James Webb III,1.6,2.4,0.4,4
Briante Weber,3.2,1.9,1.4,4
David West,13.6,6.4,2.2,1
Andrew White III,4.6,2.3,0.4,4
C.J. Wilcox,2.0,0.5,0.5,4
Jacob Wiley,0.8,2.2,0.4,4
Damien Wilkins,6.2,2.3,1.4,4
Derrick Williams,8.9,4.0,0.7,4
Matt Williams Jr.,1.7,0.3,0.0,4
Jamil Wilson,7.0,2.1,0.7,4
Jeff Withey,3.2,2.5,0.3,4
Nate Wolters,5.5,2.2,2.5,4
Brandan Wright,7.0,3.6,0.5,4
James Young,2.3,1.0,0.3,4
Joe Young,3.4,1.0,0.9,4
Paul Zipser,4.7,2.6,0.8,4
Lavoy Allen,4.8,4.8,1.0,4
Chris Andersen,5.4,5.0,0.5,4
Alan Anderson,7.3,2.2,1.1,4
Joel Anthony,2.2,2.8,0.2,4
Leandro Barbosa,10.6,2.0,2.1,1
Matt Barnes,8.2,4.6,1.8,4
Brandon Bass,8.7,4.5,0.8,4
Anthony Bennett,4.4,3.1,0.5,4
Ben Bentil,0.0,0.7,0.0,4
Chris Bosh,19.2,8.5,2.0,1
Rakeem Christmas,2.1,1.9,0.1,4
Semaj Christon,2.9,1.4,2.0,4
Norris Cole,7.0,2.0,2.7,4
Boris Diaw,8.6,4.4,3.5,4
Toney Douglas,7.6,2.2,2.3,4
Mike Dunleavy,11.2,4.3,2.2,1
Monta Ellis,17.8,3.5,4.6,1
Festus Ezeli,4.2,4.3,0.4,4
Jordan Farmar,7.7,1.9,2.9,4
Randy Foye,10.3,2.2,2.8,1
Patricio Garino,0.0,1.4,0.0,4
Michael Gbinije,0.4,0.3,0.2,4
Alonzo Gee,6.6,3.3,1.1,4
Archie Goodwin,6.3,2.0,1.2,4
Justin Hamilton,6.1,3.6,0.8,4
AJ Hammons,2.2,1.6,0.2,4
Justin Harper,2.0,0.8,0.2,4
Manny Harris,6.2,2.7,1.4,4
Spencer Hawes,8.7,5.7,1.9,4
Gerald Henderson,11.2,3.2,1.9,1
Roy Hibbert,10.0,6.3,1.3,4
Jordan Hill,7.9,5.8,0.8,4
Marcelo Huertas,3.9,1.5,3.1,4
Kris Humphries,6.7,5.4,0.7,4
Pierre Jackson,3.9,1.0,2.1,4
Dahntay Jones,5.4,1.7,0.8,4
James Jones,5.2,1.8,0.5,4
Ryan Kelly,6.0,3.1,1.3,4
Nicolas Laprovittola,3.3,0.6,1.6,4
David Lee,13.5,8.8,2.2,1
Shawn Long,8.2,4.7,0.7,4
John Lucas III,4.7,1.0,1.5,4
Sheldon Mac,3.0,1.1,0.5,4
KJ McDaniels,5.3,2.2,0.6,4
Mike Miller,10.6,4.2,2.6,1
Elijah Millsap,4.2,2.8,1.1,4
Anthony Morrow,9.4,2.2,0.9,4
Maurice Ndour,3.1,2.0,0.3,4
Gary Neal,9.9,2.2,1.6,4
Andrew Nicholson,6.0,3.0,0.4,4
Steve Novak,4.7,1.3,0.3,4
Daniel Ochef,1.3,1.2,0.2,4
Arinze Onuak,1.8,1.8,0.5,4
Lamar Patterson,2.3,1.4,1.1,4
Nikola Pekovic,12.6,6.7,0.7,1
Paul Pierce,19.7,5.6,3.5,1
Ronnie Price,3.7,1.2,1.8,4
Brian Roberts,6.6,1.3,2.3,4
Thomas Robinson,4.9,4.8,0.6,4
Sergio Rodriguez,4.9,1.5,3.4,4
Damjan Rudez,3.3,0.6,0.6,4
Brandon Rush,6.8,2.9,1.0,4
Larry Sanders,6.4,5.7,0.7,4
Luis Scola,12.0,6.7,1.6,1
Kevin Seraphin,5.9,3.5,0.6,4
Tiago Splitter,7.9,5.0,1.2,4
Jarnell Stokes,2.4,1.4,0.3,4
Diamond Stone,1.4,0.9,0.0,4
Rodney Stuckey,12.6,2.9,3.6,1
Jared Sullinger,10.8,7.5,1.8,1
Edy Tavares,2.5,2.5,0.3,4
Hollis Thompson,7.7,3.1,1.1,4
Marcus Thornton,11.9,2.8,1.4,1
Mike Tobey,1.0,1.5,0.5,4
Axel Toupane,3.5,1.3,0.6,4
Beno Udrih,8.4,2.1,3.4,4
Jarrod Uthoff,4.4,2.4,1.0,4
Anderson Varejao,7.3,7.2,1.2,4
Greivis Vasquez,9.0,2.5,4.8,4
Sasha Vujacic,5.3,1.9,1.3,4
C.J. Watson,7.2,1.9,2.5,4
Deron Williams,16.3,3.1,8.1,3
Reggie Williams,7.8,2.4,1.5,4
Kyle Wiltjer,0.9,0.7,0.1,4
Metta World Peace,13.2,4.5,2.7,1
Stephen Zimmerman,1.2,1.8,0.2,4
Jordan Adams,3.2,0.9,0.6,4
Cliff Alexander,1.3,0.8,0.0,4
Lou Amundson,3.7,3.6,0.4,4
James Anderson,5.8,2.3,1.2,4
Keith Appling,1.2,0.2,0.2,4
Jeff Ayres,2.9,2.7,0.4,4
Cameron Bairstow,1.2,1.0,0.2,4
Andrea Bargnani,14.3,4.6,1.2,1
DeJuan Blair,6.8,5.1,0.8,4
Steve Blake,6.5,2.1,4.0,4
Matt Bonner,5.8,3.0,0.7,4
Elton Brand,15.9,8.5,2.1,1
Kobe Bryant,25.0,5.2,4.7,0
Chase Budinger,7.9,3.0,1.2,4
Caron Butler,14.1,5.0,2.3,1
Rasual Butler,7.5,2.4,0.8,4
Coty Clarke,2.0,0.3,0.0,4
Chris Copeland,5.8,1.6,0.6,4
Bryce Cotton,3.8,0.8,0.8,4
Jared Cunningham,2.3,0.7,0.5,4
Branden Dawson,0.8,0.7,0.0,4
Bryce Dejean-Jones,5.6,3.4,1.1,4
Duje Dukan,6.0,4.0,1.0,4
Tim Duncan,19.0,10.8,3.0,2
Cleanthony Early,4.3,2.2,0.8,4
Kevin Garnett,17.8,10.0,3.7,1
Drew Gooden,11.0,7.1,1.1,1
Andrew Goudelock,4.0,0.7,0.5,4
Erick Green,3.1,0.7,0.8,4
Jorge Gutierrez,2.9,1.1,1.5,4
PJ Hairston,6.0,2.4,0.5,4
Jordan Hamilton,5.9,2.8,0.8,4
Tyler Hansbrough,6.7,4.2,0.4,4
Chuck Hayes,3.7,5.0,1.2,4
JJ Hickson,9.5,6.8,0.8,4
Kirk Hinrich,10.9,2.9,4.8,1
Ryan Hollins,3.7,2.2,0.3,4
Damien Inglis,1.8,1.6,0.5,4
Cory Jefferson,3.5,2.8,0.3,4
Chris Johnson,4.4,2.0,0.6,4
Orlando Johnson,3.2,1.7,0.7,4
Chris Kaman,11.2,7.6,1.3,1
Sergey Karasev,3.0,1.5,0.9,4
Sasha Kaun,0.9,1.0,0.1,4
Carl Landry,10.8,4.9,0.7,1
Devyn Marble,2.2,1.6,0.7,4
Kendall Marshall,5.0,1.6,4.9,4
Kevin Martin,17.4,3.2,1.9,1
O.J. Mayo,13.8,3.1,2.9,1
Ray McCallum,6.0,2.0,2.4,4
Mitch McGary,4.4,3.5,0.3,4
Andre Miller,12.5,3.7,6.5,3
Nazr Mohammed,5.8,4.7,0.4,4
JJ O'Brien,0.0,0.5,0.0,4
Kostas Papanikolao,3.6,2.3,1.5,4
Tibor Pleiss,2.0,1.3,0.2,4
Phil Pressey,3.2,1.5,2.9,4
Pablo Prigioni,3.5,1.9,2.8,4
Tayshaun Prince,11.1,4.3,2.4,1
Nate Robinson,11.0,2.3,3.0,1
Robert Sacre,4.2,3.1,0.7,4
Henry Sims,7.6,5.0,1.0,4
Donald Sloan,5.5,2.1,3.0,4
Greg Smith,4.0,3.3,0.3,4
Russ Smith,2.0,0.6,0.7,4
Alex Stepheson,2.8,3.5,0.3,4
Amar'e Stoudemire,18.9,7.8,1.2,1
Jason Thompson,8.9,6.6,1.1,4
Charlie Villanueva,10.4,4.6,0.8,1
Sonny Weems,6.5,2.2,1.4,4
Shayne Whittington,2.5,1.5,0.3,4
Elliot Williams,4.9,1.5,0.9,4
Mo Williams,13.2,2.8,4.9,1
Dorell Wright,8.4,3.8,1.5,4
Tony Wroten,11.1,2.5,3.0,1
Jeff Adrien,4.6,4.3,0.7,4
Furkan Aldemir,2.3,4.3,0.7,4
Pero Antic,6.3,3.5,0.9,4
Chris Babb,1.6,1.2,0.2,4
Earl Barron,4.6,3.5,0.5,4
Jerrelle Benimon,0.0,1.5,0.0,4
Sim Bhullar,0.7,0.3,0.3,4
Carlos Boozer,16.2,9.5,2.2,1
Jabari Brown,11.9,1.9,2.1,1
Shannon Brown,7.6,1.9,1.1,4
Will Bynum,8.1,1.6,3.3,4
Nick Calathes,4.6,1.9,2.7,4
Will Cherry,1.9,0.6,1.0,4
Patrick Christopher,1.5,1.5,0.0,4
Earl Clark,4.4,3.0,0.5,4
Victor Claver,3.2,2.2,0.7,4
Samuel Dalembert,7.7,7.8,0.5,4
Gigi Datome,3.4,1.4,0.4,4
Brandon Davies,3.7,2.5,0.7,4
Glen Davis,8.0,4.4,0.9,4
Andre Dawkins,0.8,0.5,0.3,4
Austin Daye,5.2,2.6,0.7,4
Joey Dorsey,2.6,3.9,0.4,4
Chris Douglas-Roberts,7.1,2.1,1.1,4
Zoran Dragic,1.8,0.5,0.3,4
Reggie Evans,4.1,7.1,0.6,4
Landry Fields,6.8,4.3,1.6,4
Jamaal Franklin,1.8,1.0,0.4,4
Joel Freeland,3.2,3.4,0.4,4
Francisco Garcia,7.9,2.6,1.4,4
Ben Gordon,14.9,2.5,2.5,1
Drew Gordon,1.9,2.0,0.2,4
Danny Granger,16.8,4.9,1.9,1
Willie Green,8.3,1.8,1.4,4
Brendan Haywood,6.8,6.0,0.5,4
Xavier Henry,5.7,1.9,0.6,4
Lester Hudson,4.7,1.4,1.2,4
Robbie Hummel,3.9,2.7,0.5,4
Bernard James,2.2,2.3,0.1,4
Grant Jerrett,2.0,1.1,0.4,4
Nick Johnson,2.6,1.4,0.4,4
Perry Jones III,3.4,1.8,0.4,4
Jerome Jordan,2.8,2.0,0.3,4
Andrei Kirilenko,11.8,5.5,2.7,1
Alex Kirk,0.8,0.2,0.2,4
Ognjen Kuzmic,0.9,1.0,0.2,4
Ricky Ledo,3.9,1.4,0.8,4
Malcolm Lee,3.9,1.8,1.4,4
Shawn Marion,15.2,8.7,1.9,1
Cartier Martin,5.1,1.9,0.5,4
Kenyon Martin,12.3,6.8,1.9,1
Jason Maxiell,5.6,4.2,0.4,4
Jerel McNeal,1.5,0.5,0.3,4
Gal Mekel,2.3,0.8,2.2,4
Quincy Miller,4.3,2.4,0.5,4
Darius Morris,3.3,1.0,1.4,4
Toure' Murry,2.6,0.8,0.9,4
Steven Adams,10.8,9.1,2.8,1
Jannero Pargo,6.4,1.4,2.0,4
AJ Price,5.8,1.4,2.2,4
Miroslav Raduljica,3.6,2.1,0.4,4
Shavlik Randolph,2.3,2.5,0.2,4
Glen Rice,2.7,1.5,0.6,4
Jason Richardson,17.1,5.0,2.7,1
Luke Ridnour,9.3,2.3,4.5,4
John Salmons,9.3,2.9,2.4,4
Alexey Shved,7.4,2.0,2.5,4
Greg Stiemsma,3.2,3.3,0.5,4
Jeffery Taylor,6.1,2.0,0.8,4
Sebastian Telfair,7.4,1.6,3.5,4
Malcolm Thomas,1.9,2.4,0.4,4
Tyrus Thomas,7.7,4.8,0.9,4
Ronny Turiaf,4.7,3.7,1.3,4
Hedo Turkogl,11.1,4.0,2.8,1
Henry Walker,6.0,2.2,0.8,4
Gerald Wallace,11.9,5.8,2.1,1
David Wear,0.0,1.0,0.5,4
Martell Webster,8.7,3.1,1.0,4
Shawne Williams,5.6,3.0,0.7,4
Ray Allen,18.9,4.1,3.4,1
Hilton Armstrong,3.0,2.6,0.3,4
Gustavo Ayon,4.7,4.4,1.3,4
Shane Battier,8.6,4.2,1.8,4
Andris Biedrins,6.3,7.0,0.9,4
Chauncey Billups,15.2,2.9,5.4,3
Andray Blatche,10.1,5.4,1.4,1
Keith Bogans,6.3,2.7,1.3,4
Ronnie Brewer,7.8,2.8,1.6,4
Andrew Bynum,11.5,7.7,1.2,1
Josh Childress,9.1,4.7,1.6,4
Dionte Christmas,2.3,1.2,0.3,4
Jason Collins,3.6,3.7,0.9,4
Nando De Colo,3.8,1.8,1.7,4
Carlos Delfino,8.1,3.6,1.7,4
Shane Edwards,1.0,1.0,0.0,4
Melvin Ely,5.3,3.2,0.7,4
Vitor Faverani,4.4,3.5,0.4,4
Carrick Felix,2.7,0.9,0.6,4
Derek Fisher,8.3,2.1,3.0,4
Diante Garrett,3.2,1.2,1.7,4
Ryan Gomes,10.1,4.6,1.5,1
Aaron Gray,3.4,3.7,0.7,4
Josh Harrellson,3.5,3.0,0.3,4
Al Harrington,13.5,5.6,1.7,1
Elias Harris,0.0,0.5,0.5,4
Mike Harris,3.4,2.1,0.2,4
Royal Ivey,3.3,1.1,1.0,4
Stephen Jackson,15.1,3.9,3.1,1
Damion James,3.8,3.4,0.7,4
Mike James,9.9,2.2,3.5,4
Antawn Jamison,18.5,7.5,1.6,1
Othyus Jeffers,3.8,2.6,0.6,4
Darius Johnson-Odom,0.0,0.9,0.3,4
Solomon Jones,3.0,2.3,0.4,4
Viacheslav Kravtsov,2.2,1.4,0.2,4
Doron Lamb,3.5,1.0,0.8,4
Rashard Lewis,14.9,5.2,1.7,1
Roger Mason Jr.,6.3,1.7,1.3,4
Eric Maynor,4.3,1.3,2.8,4
Tony Mitchell,2.0,0.3,0.3,4
Tony Mitchell,1.0,1.2,0.1,4
Arnett Moultrie,3.6,3.1,0.2,4
Byron Mullens,7.4,4.2,0.8,4
Erik Murphy,0.3,0.3,0.1,4
Steve Nash,14.3,3.0,8.5,3
Hamady Ndiaye,0.6,0.8,0.1,4
Nemanja Nedovic,1.1,0.6,0.5,4
Jermaine O'Neal,13.2,7.2,1.4,1
Greg Oden,8.0,6.2,0.5,4
Lamar Odom,13.3,8.4,3.7,1
Daniel Orton,2.8,2.5,0.5,4
Travis Outlaw,8.5,3.2,0.8,4
Dexter Pittman,2.3,1.8,0.2,4
Josh Powell,3.9,2.9,0.5,4
Anthony Randolph,7.1,4.3,0.7,4
Mustafa Shakur,2.1,0.9,1.2,4
Tornike Shengelia,1.3,0.9,0.4,4
Chris Singleton,4.1,3.2,0.6,4
Peyton Siva,2.3,0.6,1.4,4
Chris Smith,0.0,0.0,0.0,4
James Southerland,3.5,2.0,0.0,4
Tyshawn Taylor,2.9,0.5,0.9,4
Hasheem Thabeet,2.2,2.7,0.1,4
Adonis Thomas,2.3,0.5,0.5,4
Jamaal Tinsley,8.5,2.9,6.1,3
Jeremy Tyler,3.6,2.6,0.2,4
Jarvis Varnado,2.9,1.9,0.4,4
Jan Vesely,3.6,3.5,0.6,4
Casper Ware,5.3,1.0,1.1,4
Earl Watson,6.4,2.3,4.4,4
Maalik Wayns,2.7,0.3,1.0,4
DJ White,5.9,3.2,0.6,4
Royce White,0.0,0.0,0.0,4
Chris Wright,3.7,2.0,0.3,4
Josh Akognon,1.7,0.3,0.3,4
Rodrigue Beaubois,7.1,1.9,2.1,4
Kwame Brown,6.6,5.5,0.9,4
Marcus Camby,9.5,9.8,1.9,4
Matt Carroll,6.6,1.9,0.7,4
Will Conroy,0.4,0.7,1.0,4
Daequan Cook,6.4,2.1,0.7,4
Eddy Curry,12.9,5.2,0.5,1
Marquis Daniels,7.9,2.8,1.8,4
Justin Dentmon,3.3,1.0,1.3,4
DeSagana Diop,2.0,3.7,0.4,4
Keyon Dooling,7.0,1.3,2.2,4
Chris Duhon,6.5,2.3,4.4,4
Devin Ebanks,3.6,1.9,0.4,4
Kim English,2.9,0.9,0.6,4
Mickael Gelabale,4.6,2.3,0.8,4
Daniel Gibson,7.8,2.0,2.0,4
Donte Greene,6.1,2.4,0.7,4
Hamed Haddadi,2.2,2.5,0.3,4
Richard Hamilton,17.1,3.1,3.4,1
Ben Hansbrough,2.0,0.6,0.8,4
Terrel Harris,2.3,1.8,0.8,4
Lazar Hayward,2.9,1.3,0.5,4
Cory Higgins,3.7,0.9,0.9,4
Grant Hill,16.7,6.0,4.1,1
Tyler Honeycutt,1.2,1.0,0.4,4
Josh Howard,14.3,5.7,1.6,1
Juwan Howard,13.4,6.1,2.2,1
Jared Jeffries,4.8,4.1,1.3,4
Charles Jenkins,3.7,0.9,1.9,4
Chris Johnson,2.9,1.9,0.2,4
Ivan Johnson,6.5,3.9,0.6,4
DeQuan Jones,3.7,1.7,0.3,4
Dominique Jones,3.1,1.4,1.8,4
Dwayne Jones,1.3,2.3,0.1,4
Kevin Jones,3.0,2.4,0.3,4
Kris Joseph,0.9,0.7,0.1,4
Jason Kidd,12.6,6.3,8.7,3
Linas Kleiza,8.7,3.6,0.8,4
Corey Maggette,16.0,4.9,2.1,1
Tracy McGrady,19.6,5.6,4.4,1
Dominic McGuire,2.7,3.4,1.2,4
Fab Melo,1.2,0.5,0.0,4
Darko Milicic,6.0,4.2,0.9,4
Kevin Murphy,0.9,0.2,0.1,4
Troy Murphy,10.8,7.8,1.5,1
Tim Ohlbrecht,1.0,0.3,0.3,4
Jeremy Pargo,4.7,1.0,1.8,4
Sasha Pavlovic,4.9,1.8,0.9,4
Johan Petro,4.7,3.9,0.5,4
Mickael Pietrus,8.3,3.1,0.8,4
Joel Przybilla,3.9,6.2,0.4,4
Chris Quinn,4.5,1.1,1.9,4
Vladimir Radmanovic,8.0,3.8,1.4,4
Quentin Richardson,10.3,4.7,1.5,1
Brandon Roy,18.8,4.3,4.7,1
Samardo Samuels,5.9,3.4,0.4,4
Josh Selby,2.2,0.5,0.9,4
Nolan Smith,3.3,1.0,1.2,4
Jerry Stackhouse,16.9,3.2,3.3,1
DeShawn Stevenson,7.2,2.2,1.6,4
DaJuan Summers,3.3,1.0,0.3,4
Kurt Thomas,8.1,6.6,1.1,4
Rasheed Wallace,14.4,6.7,1.8,1
Luke Walton,4.7,2.8,2.3,4
Hakim Warrick,9.4,4.0,0.8,4
James White,2.7,1.0,0.5,4
Chris Wilcox,8.2,4.9,0.7,4
Terrence Williams,7.1,3.6,2.4,4
Chris Wright,0.7,0.0,0.0,4
Sam Young,5.8,2.3,0.7,4
Luke Zeller,1.2,0.6,0.2,4
Blake Ahearn,4.6,1.2,1.2,4
Solomon Alabi,1.5,2.3,0.2,4
Morris Almond,3.1,1.2,0.3,4
Gilbert Arenas,20.7,3.9,5.3,0
Kelenna Azubuike,10.5,4.0,1.1,1
Renaldo Balkman,4.0,3.5,0.6,4
Tony Battie,6.1,5.1,0.6,4
Raja Bell,9.9,2.8,1.7,4
Keith Benson,0.0,1.0,0.0,4
Mike Bibby,14.7,3.1,5.5,3
Earl Boykins,8.9,1.3,3.2,4
Craig Brackins,1.8,1.1,0.5,4
Jon Brockman,2.1,3.1,0.3,4
Derrick Brown,5.2,2.4,0.7,4
Derrick Byars,5.0,5.5,0.5,4
Brian Cardinal,4.6,2.3,1.0,4
Anthony Carter,4.8,2.1,3.8,4
Brian Cook,5.5,2.6,0.6,4
Erick Dampier,7.4,7.1,0.8,4
Baron Davis,16.1,3.8,7.2,3
Josh Davis,2.3,1.7,0.3,4
Eric Dawson,3.8,2.5,0.0,4
Ike Diog,6.0,3.1,0.3,4
Jerome Dyson,7.4,2.1,2.0,4
Francisco Elson,3.7,3.5,0.6,4
Andre Emmett,1.4,0.6,0.1,4
Semih Erden,3.8,2.8,0.4,4
Maurice Evans,6.7,2.5,0.7,4
Christian Eyenga,6.3,2.7,0.8,4
Rudy Fernandez,9.1,2.4,2.2,4
Kyrylo Fesenko,2.3,2.0,0.3,4
Jonny Flynn,9.2,1.9,3.9,4
Jeff Foote,1.0,1.5,0.0,4
Gary Forbes,5.8,2.0,0.9,4
T.J. Ford,11.2,3.1,5.8,3
Courtney Fortson,3.5,1.5,1.0,4
Jeff Foster,4.9,6.9,0.9,4
Dan Gadzuric,4.7,4.4,0.4,4
Sundiata Gaines,4.5,1.5,1.8,4
Mickell Gladness,2.2,2.2,0.2,4
Luke Harangody,3.6,2.8,0.5,4
Darington Hobson,0.8,0.6,1.2,4
Dennis Horner,0.6,0.6,0.0,4
Larry Hughes,14.1,4.2,3.1,1
Armon Johnson,3.3,1.0,1.2,4
Carldell Johnson,1.8,0.6,1.5,4
JaJuan Johnson,3.2,1.6,0.2,4
Trey Johnson,2.6,0.9,0.7,4
Jason Kapono,6.7,1.7,0.8,4
D.J. Kennedy,6.0,3.5,1.5,4
Travis Leslie,1.4,0.9,0.5,4
Vernon Macklin,2.0,1.5,0.2,4
Jamaal Magloire,7.2,6.5,0.6,4
Brad Miller,11.2,7.1,2.8,1
Jamario Moon,6.3,4.3,1.0,4
Mikki Moore,5.8,3.9,0.7,4
Eduardo Najera,4.9,3.7,0.8,4
Andres Nocioni,10.5,4.5,1.2,1
Mehmet Okur,13.5,7.0,1.7,1
Larry Owens,2.8,1.5,0.6,4
Anthony Parker,9.1,3.2,2.3,4
Michael Redd,19.0,3.8,2.1,1
Ryan Reid,1.6,0.4,0.0,4
Walker Russell,3.0,0.9,2.1,4
Brian Scalabrine,3.1,2.0,0.8,4
Bobby Simmons,9.0,3.8,1.5,4
James Singleton,3.9,3.7,0.4,4
Brian Skinner,4.7,4.7,0.5,4
Craig Smith,7.6,3.9,0.8,4
Jerry Smith,1.4,1.4,0.8,4
Trey Thompkins,2.4,1.0,0.1,4
Mychel Thompson,3.6,1.0,1.4,4
Edwin Ubiles,3.5,2.5,0.3,4
Ben Uzoh,4.0,2.1,2.2,4
Von Wafer,5.3,1.2,0.7,4
Ben Wallace,5.7,9.6,1.3,4
Darryl Watkins,2.5,2.8,0.2,4
Delonte West,9.7,2.9,3.6,4
Jordan Williams,4.6,3.6,0.3,4
Sean Williams,4.2,3.4,0.3,4
Shelden Williams,4.5,4.3,0.5,4
Yi Jianlian,7.9,4.9,0.7,4
Maurice Ager,2.1,0.6,0.2,4
Malik Allen,4.9,2.8,0.5,4
David Andersen,4.9,2.8,0.6,4
Carlos Arroyo,6.6,1.7,3.1,4
Marcus Banks,5.9,1.5,2.1,4
Charlie Bell,8.5,2.2,2.3,4
Derrick Caracter,2.0,1.0,0.2,4
Rodney Carney,5.9,2.0,0.4,4
Jarron Collins,3.9,2.9,0.8,4
Sherron Collins,0.9,0.3,0.4,4
Marcus Cousin,1.0,0.8,0.0,4
Antonio Daniels,7.6,1.8,3.4,4
Zabian Dowdell,5.0,0.8,2.1,4
Ronald Dupree,3.5,2.2,0.6,4
Patrick Ewing,0.4,0.3,0.3,4
Joey Graham,5.9,2.8,0.5,4
Stephen Graham,4.0,1.8,0.5,4
Orien Greene,2.5,1.5,1.2,4
Luther Head,8.2,2.4,2.1,4
