14.6,10.5,4.1,big_man
18.9,7.0,2.4,scorer
6.5,2.4,2.1,average_player
7.6,3.0,1.6,average_player
12.3,10.6,1.2,big_man
9.0,0.0,2.0,average_player
4.3,4.8,1.2,average_player
6.7,4.4,2.6,average_player
2.5,3.5,1.0,average_player
30.8,13.1,5.4,all_star
0.0,0.5,0.0,average_player
3.5,0.8,1.0,average_player
11.2,5.6,1.8,scorer
4.2,1.7,1.7,average_player
5.2,3.7,0.8,average_player
9.6,2.5,4.7,average_player
18.0,11.0,0.0,big_man
6.7,2.6,1.3,average_player
14.0,10.0,0.0,scorer
10.9,4.3,5.7,playmaker
5.4,5.4,0.5,average_player
8.7,1.7,2.8,average_player
16.3,5.2,2.3,scorer
14.3,5.3,3.3,scorer
14.2,6.5,3.3,scorer
8.0,2.7,0.4,average_player
3.5,4.4,3.2,average_player
14.7,5.7,2.9,scorer
7.8,4.3,1.7,average_player
4.1,3.5,0.6,average_player
28.0,4.5,7.0,all_star
6.4,1.5,1.1,average_player
5.4,1.7,1.5,average_player
3.9,3.5,0.7,average_player
7.3,4.6,2.7,average_player
5.0,0.7,1.0,average_player
14.9,4.5,1.6,scorer
7.5,6.1,3.2,average_player
4.4,5.8,1.1,average_player
4.1,3.1,0.8,average_player
7.5,4.3,0.8,average_player
11.5,6.9,2.6,scorer
15.0,4.9,5.6,playmaker
14.3,2.8,4.4,scorer
20.9,4.4,2.1,all_star
1.0,0.0,0.0,average_player
1.3,0.0,0.0,average_player
3.8,2.5,1.4,average_player
25.5,3.9,6.2,all_star
5.4,4.2,0.5,average_player
0.7,0.3,0.0,average_player
8.8,2.7,2.9,average_player
9.6,3.2,1.8,average_player
4.2,3.5,0.2,average_player
0.0,2.0,0.5,average_player
2.3,0.7,0.2,average_player
7.2,3.5,1.0,average_player
12.8,5.4,1.8,scorer
0.8,0.3,0.3,average_player
3.0,1.3,0.8,average_player
19.0,4.9,7.7,playmaker
13.1,3.5,2.0,scorer
7.3,4.2,3.7,average_player
20.0,6.9,1.9,scorer
2.0,2.3,0.0,average_player
5.6,4.8,1.4,average_player
1.8,0.8,0.0,average_player
7.6,5.1,2.1,average_player
7.5,2.3,2.6,average_player
13.9,8.5,2.7,scorer
11.3,2.7,2.0,scorer
7.1,1.4,3.4,average_player
15.0,4.4,2.8,scorer
2.8,1.8,0.3,average_player
20.6,6.3,6.8,all_star
3.9,2.4,0.6,average_player
7.9,2.1,1.6,average_player
0.0,0.0,0.0,average_player
14.4,14.7,1.1,big_man
2.5,2.6,0.9,average_player
4.1,1.8,1.9,average_player
5.6,1.9,0.8,average_player
12.1,10.0,0.9,scorer
4.7,3.3,1.8,average_player
5.2,2.0,1.9,average_player
7.6,6.5,1.6,average_player
1.7,2.7,0.3,average_player
6.0,4.2,1.6,average_player
1.0,1.5,0.5,average_player
1.6,1.1,3.0,average_player
7.2,4.7,2.0,average_player
3.0,2.4,0.7,average_player
11.8,5.9,1.3,scorer
13.5,2.2,2.4,scorer
3.0,2.4,1.2,average_player
4.6,0.7,0.4,average_player
1.4,0.8,0.1,average_player
